Len,Source,Category,CTCode,Value
36,"DIPALMITOYLPHOSPHATIDYLGLYCEROL, DL-",c,VA9U6BR3SB,"DIPALMITOYLPHOSPHATIDYLGLYCEROL, DL-"
36,HYDROXYPROPYL CELLULOSE \(20000 WAMW\),c,KZQ570MOA5,HYDROXYPROPYL CELLULOSE \(20000 WAMW\)
36,HYDROXYPROPYL CELLULOSE \(45000 WAMW\),c,8VAB711C5E,HYDROXYPROPYL CELLULOSE \(45000 WAMW\)
36,HYDROXYPROPYL CELLULOSE \(70000 WAMW\),c,66O7AQV0RT,HYDROXYPROPYL CELLULOSE \(70000 WAMW\)
36,HYDROXYPROPYL CELLULOSE \(90000 WAMW\),c,UKE75GEA7F,HYDROXYPROPYL CELLULOSE \(90000 WAMW\)
36,PEG-20 METHYL GLUCOSE SESQUISTEARATE,c,0345752X7U,PEG-20 METHYL GLUCOSE SESQUISTEARATE
36,PROPYLENE GLYCOL MONOPALMITOSTEARATE,c,F76354LMGR,PROPYLENE GLYCOL MONOPALMITOSTEARATE
36,"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS",c,22ADO53M6F,"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS"
36,"SODIUM PHOSPHATE, DIBASIC, DIHYDRATE",c,94255I6E2T,"SODIUM PHOSPHATE, DIBASIC, DIHYDRATE"
35,"HYDROXYPROPYL\s{0,1}METHYLCELLULOSE",c,3NXW29V3WO,"HYPROMELLOSE, UNSPECIFIED"
35,ANHYDROUS DIBASIC CALCIUM PHOSPHATE,c,L11K75P92J,ANHYDROUS DIBASIC CALCIUM PHOSPHATE
35,DIBASIC CALCIUM PHOSPHATE DIHYDRATE,c,O7TSZ97GEP,DIBASIC CALCIUM PHOSPHATE DIHYDRATE
35,CAPRYLOCAPROYL POLYOXYLGLYCERIDES 8,c,00BT03FSO2,CAPRYLOCAPROYL POLYOXYLGLYCERIDES 8
35,POLYOXYETHYLENE SORBITAN MONOOLEATE,c,6OZP39ZG8H,POLYSORBATE 80
35,"CALCIUM PHOSPHATE, UNSPECIFIED FORM",c,97Z1WI3NDX,"CALCIUM PHOSPHATE, UNSPECIFIED FORM"
35,CAPRYLOCAPROYL POLYOXYLGLYCERIDES 8,c,00BT03FSO2,CAPRYLOCAPROYL POLYOXYLGLYCERIDES 8
35,GLYCERYL MONO AND DIPALMITOSTEARATE,c,KC98RO82HJ,GLYCERYL MONO AND DIPALMITOSTEARATE
35,"HYDROXYETHYL CELLULOSE, UNSPECIFIED",c,T4V6TWG28D,"HYDROXYETHYL CELLULOSE, UNSPECIFIED"
35,"MAGNESIUM SULFATE, UNSPECIFIED FORM",c,DE08037SAB,"MAGNESIUM SULFATE, UNSPECIFIED FORM"
35,POLYOXYL 40 HYDROGENATED CASTOR OIL,c,7YC686GQ8F,POLYOXYL 40 HYDROGENATED CASTOR OIL
35,SODIUM STARCH GLYCOLATE TYPE A CORN,c,AG9B65PV6B,SODIUM STARCH GLYCOLATE TYPE A CORN
35,CAPRYLOCAPROYL POLYOXYLGLYCERIDES 8,c,00BT03FSO2,CAPRYLOCAPROYL POLYOXYLGLYCERIDES 8
34,DIHYDROXYALUMINUM SODIUM CARBONATE,c,84H8Z9550J,DIHYDROXYALUMINUM SODIUM CARBONATE
34,"DISTEAROYLPHOSPHATIDYLCHOLINE, DL-",c,EAG959U971,"DISTEAROYLPHOSPHATIDYLCHOLINE, DL-"
34,GELATIN TYPE A PORCINE \(160 BLOOM\),c,7Z075S9991,GELATIN TYPE A PORCINE \(160 BLOOM\)
34,GLYCERYL MONO AND DICAPRYLOCAPRATE,c,U72Q2I8C85,GLYCERYL MONO AND DICAPRYLOCAPRATE
34,GLYCERYL STEARATE/PEG-100 STEARATE,c,RD25J5V947,GLYCERYL STEARATE/PEG-100 STEARATE
34,GLYCERYL STEARATE/PEG-100 STEARATE,c,RD25J5V947,GLYCERYL STEARATE/PEG-100 STEARATE
34,PINE NEEDLE OIL \(PINUS SYLVESTRIS\),c,5EXL5H740Y,PINE NEEDLE OIL \(PINUS SYLVESTRIS\)
34,diethylenetriaminepentaacetic acid,c,7A314HQM0I,PENTETIC ACID
33,ISOTONIC SODIUM CHLORIDE SOLUTION,c,VR5Y7PDT5W,ISOTONIC SODIUM CHLORIDE SOLUTION
33,"CALCIUM SULFATE, UNSPECIFIED FORM",c,WAT0DDB505,"CALCIUM SULFATE, UNSPECIFIED FORM"
33,DIETHYLENE GLYCOL MONOETHYL ETHER,c,A1A1I8X02B,DIETHYLENE GLYCOL MONOETHYL ETHER
33,GELATIN TYPE B BOVINE \(160 BLOOM\),c,1T8387508X,GELATIN TYPE B BOVINE \(160 BLOOM\)
33,GELATIN TYPE B BOVINE \(200 BLOOM\),c,A7JR5F8DLH,GELATIN TYPE B BOVINE \(200 BLOOM\)
33,GELATIN TYPE B BOVINE \(230 BLOOM\),c,WIL1404U79,GELATIN TYPE B BOVINE \(230 BLOOM\)
33,ISOTONIC SODIUM CHLORIDE SOLUTION,c,VR5Y7PDT5W,ISOTONIC SODIUM CHLORIDE SOLUTION
33,2-hydroxypropyl-beta-cyclodextrin,c,1I96OHX6EK,HYDROXYPROPYL BETADEX
33,HYDROXYPROPYL-B-CYCLODEXTRIN,c,1I96OHX6EK,HYDROXYPROPYL BETADEX
32,ETHYLENEDIAMINE TETRAACETIC ACID,c,9G34HU7RV0,EDETIC ACID
32,ALUMINUM STARCH OCTENYLSUCCINATE,c,I9PJ0O6294,ALUMINUM STARCH OCTENYLSUCCINATE
32,CYSTEINE HYDROCHLORIDE ANHYDROUS,c,A9U1687S1S,CYSTEINE HYDROCHLORIDE ANHYDROUS
32,HYPROMELLOSE 2208 \(100000 MPA\.S\),c,VM7F0B23ZI,HYPROMELLOSE 2208 \(100000 MPA\.S\)
32,LAURIC/MYRISTIC DIETHANOLOLAMIDE,c,KB1BQB7R06,LAURIC/MYRISTIC DIETHANOLOLAMIDE
32,PEG-25 PROPYLENE GLYCOL STEARATE,c,X21KPH4633,PEG-25 PROPYLENE GLYCOL STEARATE
31,SODIUM THIOSULFATE PENTAHYDRATE,c,HX1032V43M,SODIUM THIOSULFATE
31,"CARBOXYMETHYLCELLULOSE, CALCIUM",c,UTY7PDF93L,CARBOXYMETHYLCELLULOSE CALCIUM
31,APRICOT KERNEL OIL PEG-6 ESTERS,c,DRG3KJZ1TJ,APRICOT KERNEL OIL PEG-6 ESTERS
31,"\.ALPHA\.-TOCOPHEROL ACETATE, DL-",c,WR1WPI7EW8,"\.ALPHA\.-TOCOPHEROL ACETATE, DL-"
31,BETADEX SULFOBUTYL ETHER SODIUM,c,2PP9364507,BETADEX SULFOBUTYL ETHER SODIUM
31,DISODIUM LAURETH SULFOSUCCINATE,c,D6DH1DTN7E,DISODIUM LAURETH SULFOSUCCINATE
31,DOCUSATE SODIUM/SODIUM BENZOATE,c,656HXR6YXN,DOCUSATE SODIUM/SODIUM BENZOATE
31,ETHYLENE GLYCOL MONOETHYL ETHER,c,IDK7C2HS09,ETHYLENE GLYCOL MONOETHYL ETHER
31,ETHYLENEDIAMINE DIHYDROCHLORIDE,c,91WQV43244,ETHYLENEDIAMINE DIHYDROCHLORIDE
31,HYDROGENATED STARCH HYDROLYSATE,c,27F77DSJ5V,HYDROGENATED STARCH HYDROLYSATE
31,HYPROMELLOSE 2208 \(15000 MPA\.S\),c,Z78RG6M2N2,HYPROMELLOSE 2208 \(15000 MPA\.S\)
31,HYPROMELLOSE 2910 \(10000 MPA\.S\),c,0HO1H52958,HYPROMELLOSE 2910 \(10000 MPA\.S\)
31,HYPROMELLOSE 2910 \(15000 MPA\.S\),c,288VBX44JC,HYPROMELLOSE 2910 \(15000 MPA\.S\)
31,PEG-120 METHYL GLUCOSE DIOLEATE,c,YM0K64F20V,PEG-120 METHYL GLUCOSE DIOLEATE
31,SODIUM FORMALDEHYDE SULFOXYLATE,c,X4ZGP7K714,SODIUM FORMALDEHYDE SULFOXYLATE
31,"SODIUM METAPHOSPHATE, INSOLUBLE",c,GQ3AN47ZIY,"SODIUM METAPHOSPHATE, INSOLUBLE"
31,APRICOT KERNEL OIL PEG-6 ESTERS,c,DRG3KJZ1TJ,APRICOT KERNEL OIL PEG-6 ESTERS
31,Hydroxypropyl-beta-cyclodextrin,c,1I96OHX6EK,HYDROXYPROPYL BETADEX
31,polyvinylpyrrolidone \(PVP\) K-30,c,U725QWY32X,POVIDONE K30
30,SODIUM\sCARBOXYMETHYLCELLULOSE,c,K679OBS311,"CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED"
30,"N,N-BIS\(2-HYDROXYETHYL\)GLYCINE",c,1J484QFI1O,BICINE
30,CARBOXYMETHYLCELLULOSE CALCIUM,c,UTY7PDF93L,CARBOXYMETHYLCELLULOSE CALCIUM
30,"CARBOXYMETHYLCELLULOSE, SODIUM",c,K679OBS311,"CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED"
30,ALUMINUM SILICATE PENTAHYDRATE,c,IQ2A4DQ696,ALUMINUM SILICATE PENTAHYDRATE
30,DIHYDROXYALUMINUM AMINOACETATE,c,DO250MG0W6,DIHYDROXYALUMINUM AMINOACETATE
