"STUDYID","DOMAIN","USUBJID","BWSEQ","BWTESTCD","BWTEST","BWORRES","BWORRESU","BWSTRESC","BWSTRESN","BWSTRESU","BWSTAT","BWREASND","BWBLFL","BWFAST","BWEXCLFL","BWREASEX","VISITDY","BWDTC","BWDY"
"GLP003","BW","107001355",96,"TERMBW","Terminal Body Weight","391.1","g","391.1",391.1,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:42:56",30
"GLP003","BW","107001426",97,"TERMBW","Terminal Body Weight","456.5","g","456.5",456.5,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:43:01",30
"GLP003","BW","107001424",98,"TERMBW","Terminal Body Weight","400.2","g","400.2",400.2,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:43:10",30
"GLP003","BW","107001438",99,"TERMBW","Terminal Body Weight","333.8","g","333.8",333.8,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:43:20",30
"GLP003","BW","107001404",100,"TERMBW","Terminal Body Weight","424.9","g","424.9",424.9,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:43:29",30
"GLP003","BW","107001482",101,"TERMBW","Terminal Body Weight","441.6","g","441.6",441.6,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:57:03",43
"GLP003","BW","107001486",102,"TERMBW","Terminal Body Weight","418.1","g","418.1",418.1,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:57:08",43
"GLP003","BW","107001398",103,"TERMBW","Terminal Body Weight","402.2","g","402.2",402.2,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:57:18",43
"GLP003","BW","107001445",104,"TERMBW","Terminal Body Weight","422.7","g","422.7",422.7,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:57:25",43
"GLP003","BW","107001399",105,"TERMBW","Terminal Body Weight","438.0","g","438.0",438,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:57:31",43
"GLP003","BW","107001583",106,"TERMBW","Terminal Body Weight","242.2","g","242.2",242.2,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:01:10",29
"GLP003","BW","107001517",107,"TERMBW","Terminal Body Weight","244.9","g","244.9",244.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:01:14",29
"GLP003","BW","107001545",108,"TERMBW","Terminal Body Weight","261.3","g","261.3",261.3,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:01:23",29
"GLP003","BW","107001547",109,"TERMBW","Terminal Body Weight","226.8","g","226.8",226.8,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:01:28",29
"GLP003","BW","107001627",110,"TERMBW","Terminal Body Weight","245.8","g","245.8",245.8,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:01:34",29
"GLP003","BW","107001565",111,"TERMBW","Terminal Body Weight","204.1","g","204.1",204.1,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:50",30
"GLP003","BW","107001643",112,"TERMBW","Terminal Body Weight","240.1","g","240.1",240.1,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:55",30
"GLP003","BW","107001515",113,"TERMBW","Terminal Body Weight","224.1","g","224.1",224.1,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:59",30
"GLP003","BW","107001521",114,"TERMBW","Terminal Body Weight","218.4","g","218.4",218.4,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:36:09",30
"GLP003","BW","107001508",115,"TERMBW","Terminal Body Weight","236.5","g","236.5",236.5,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:36:16",30
"GLP003","BW","107001584",116,"TERMBW","Terminal Body Weight","238.0","g","238.0",238,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:40:59",43
"GLP003","BW","107001566",117,"TERMBW","Terminal Body Weight","217.4","g","217.4",217.4,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:41:09",43
"GLP003","BW","107001644",118,"TERMBW","Terminal Body Weight","227.8","g","227.8",227.8,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:41:17",43
"GLP003","BW","107001587",119,"TERMBW","Terminal Body Weight","253.0","g","253.0",253,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:41:25",43
"GLP003","BW","107001638",120,"TERMBW","Terminal Body Weight","229.4","g","229.4",229.4,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:41:37",43
"GLP003","BW","107001449",121,"TERMBW","Terminal Body Weight","398.5","g","398.5",398.5,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:34:58",29
"GLP003","BW","107001392",122,"TERMBW","Terminal Body Weight","374.1","g","374.1",374.1,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:35:05",29
"GLP003","BW","107001495",123,"TERMBW","Terminal Body Weight","432.9","g","432.9",432.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:35:11",29
"GLP003","BW","107001391",124,"TERMBW","Terminal Body Weight","418.1","g","418.1",418.1,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:35:17",29
"GLP003","BW","107001477",125,"TERMBW","Terminal Body Weight","399.0","g","399.0",399,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:35:22",29
"GLP003","BW","107001369",126,"TERMBW","Terminal Body Weight","394.3","g","394.3",394.3,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:43:40",30
"GLP003","BW","107001461",127,"TERMBW","Terminal Body Weight","387.1","g","387.1",387.1,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:45:57",30
"GLP003","BW","107001376",128,"TERMBW","Terminal Body Weight","385.0","g","385.0",385,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:46:10",30
"GLP003","BW","107001420",129,"TERMBW","Terminal Body Weight","394.2","g","394.2",394.2,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:46:20",30
"GLP003","BW","107001350",130,"TERMBW","Terminal Body Weight","364.9","g","364.9",364.9,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:46:40",30
"GLP003","BW","107001474",131,"TERMBW","Terminal Body Weight","422.9","g","422.9",422.9,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:57:41",43
"GLP003","BW","107001446",132,"TERMBW","Terminal Body Weight","471.6","g","471.6",471.6,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:57:48",43
"GLP003","BW","107001485",133,"TERMBW","Terminal Body Weight","390.6","g","390.6",390.6,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:58:00",43
"GLP003","BW","107001435",134,"TERMBW","Terminal Body Weight","422.9","g","422.9",422.9,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:58:20",43
"GLP003","BW","107001383",135,"TERMBW","Terminal Body Weight","425.2","g","425.2",425.2,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:58:27",43
"GLP003","BW","107001533",136,"TERMBW","Terminal Body Weight","231.0","g","231.0",231,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:01:39",29
"GLP003","BW","107001617",137,"TERMBW","Terminal Body Weight","221.3","g","221.3",221.3,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:01:46",29
"GLP003","BW","107001578",138,"TERMBW","Terminal Body Weight","235.9","g","235.9",235.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:01:51",29
"GLP003","BW","107001571",139,"TERMBW","Terminal Body Weight","216.8","g","216.8",216.8,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:02:02",29
"GLP003","BW","107001532",140,"TERMBW","Terminal Body Weight","238.6","g","238.6",238.6,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:02:07",29
"GLP003","BW","107001522",141,"TERMBW","Terminal Body Weight","221.3","g","221.3",221.3,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:36:21",30
"GLP003","BW","107001610",142,"TERMBW","Terminal Body Weight","245.2","g","245.2",245.2,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:36:34",30
"GLP003","BW","107001504",143,"TERMBW","Terminal Body Weight","221.4","g","221.4",221.4,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:36:48",30
"GLP003","BW","107001536",144,"TERMBW","Terminal Body Weight","216.6","g","216.6",216.6,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:36:58",30
"GLP003","BW","107001633",145,"TERMBW","Terminal Body Weight","233.8","g","233.8",233.8,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:37:08",30
"GLP003","BW","107001628",146,"TERMBW","Terminal Body Weight","215.5","g","215.5",215.5,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:41:42",43
"GLP003","BW","107001554",147,"TERMBW","Terminal Body Weight","253.5","g","253.5",253.5,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:41:48",43
"GLP003","BW","107001598",148,"TERMBW","Terminal Body Weight","274.0","g","274.0",274,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:41:53",43
"GLP003","BW","107001555",149,"TERMBW","Terminal Body Weight","238.3","g","238.3",238.3,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:42:01",43
"GLP003","BW","107001588",150,"TERMBW","Terminal Body Weight","225.3","g","225.3",225.3,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-26T11:42:08",43
"GLP003","BW","107001349",151,"BW","Body Weight","264","g","264",264,"g",NA,NA,NA,NA,NA,NA,-4,"2007-06-08T08:05:50",-4
"GLP003","BW","107001349",152,"BW","Body Weight","286","g","286",286,"g",NA,NA,NA,NA,NA,NA,-1,"2007-06-11T07:47:25",-1
"GLP003","BW","107001349",153,"BW","Body Weight","294","g","294",294,"g",NA,NA,"Y",NA,NA,NA,1,"2007-06-12T07:21:15",1
"GLP003","BW","107001349",154,"BW","Body Weight","326","g","326",326,"g",NA,NA,NA,NA,NA,NA,8,"2007-06-19T07:40:27",8
"GLP003","BW","107001349",155,"BW","Body Weight","356","g","356",356,"g",NA,NA,NA,NA,NA,NA,15,"2007-06-26T07:34:13",15
"GLP003","BW","107001349",156,"BW","Body Weight","387","g","387",387,"g",NA,NA,NA,NA,NA,NA,22,"2007-07-03T06:25:32",22
"GLP003","BW","107001350",157,"BW","Body Weight","260","g","260",260,"g",NA,NA,NA,NA,NA,NA,-4,"2007-06-08T08:05:58",-4
