"STUDYID","DOMAIN","USUBJID","SESEQ","ETCD","ELEMENT","SESTDTC","SEENDTC","SEUPDES"
"GLP003","SE","107001613",409,"C_1","0 mg/kg/day Vehicle Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001373",410,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001481",411,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001457",412,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001418",413,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001479",414,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001498",415,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001371",416,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001489",417,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001451",418,"C_2","0 mg/kg/day Negative Control","2007-06-12","2007-06-12",NA
"GLP003","SE","107001542",419,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001639",420,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001577",421,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001551",422,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001603",423,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001648",424,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001626",425,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001606",426,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001600",427,"C_2","0 mg/kg/day Negative Control","2007-06-14","2007-06-14",NA
"GLP003","SE","107001407",428,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001436",429,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001395",430,"D_3","60 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
