"STUDYID","DOMAIN","USUBJID","BGSEQ","BGTESTCD","BGTEST","BGORRES","BGORRESU","BGSTRESC","BGSTRESN","BGSTRESU","BGSTAT","BGREASND","BGEXCLFL","BGREASEX","BGDTC","BGENDTC","BGDY","BGENDY","BGELTM","BGTPTREF","BGRFTDTC"
"GLP003","BG","107001491",75,"BWGAIN","Body Weight Gain","29.0","g","29.0",29,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001570",76,"BWGAIN","Body Weight Gain","14.0","g","14.0",14,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001618",77,"BWGAIN","Body Weight Gain","11.0","g","11.0",11,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001520",78,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001553",79,"BWGAIN","Body Weight Gain","8.0","g","8.0",8,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001540",80,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001562",81,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001631",82,"BWGAIN","Body Weight Gain","7.0","g","7.0",7,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001499",83,"BWGAIN","Body Weight Gain","6.0","g","6.0",6,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001552",84,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001505",85,"BWGAIN","Body Weight Gain","14.0","g","14.0",14,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001637",86,"BWGAIN","Body Weight Gain","13.0","g","13.0",13,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001612",87,"BWGAIN","Body Weight Gain","18.0","g","18.0",18,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001574",88,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001519",89,"BWGAIN","Body Weight Gain","10.0","g","10.0",10,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001589",90,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001447",91,"BWGAIN","Body Weight Gain","30.0","g","30.0",30,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001414",92,"BWGAIN","Body Weight Gain","29.0","g","29.0",29,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001400",93,"BWGAIN","Body Weight Gain","34.0","g","34.0",34,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001454",94,"BWGAIN","Body Weight Gain","21.0","g","21.0",21,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
