"LBTEST","LBTESTCD","LBSPEC","SPECIES","SEX","LBSTRESU","LBSTRESM","LBSTRESSD","N"
"Aspartate Aminotransferase","AST","SERUM","DOG","M","IU/L",37.0980392156863,6.2246873034831,17
"Aspartate Aminotransferase","AST","SERUM","DOG","M","U/L",31.4880124777184,21.9503915595248,561
"Aspartate Aminotransferase","AST","SERUM","MONKEY","F","IU/L",43.4333333333333,16.0260076484118,32
"Aspartate Aminotransferase","AST","SERUM","MONKEY","F","U/L",52.1830256240673,39.2487102132009,936
"Aspartate Aminotransferase","AST","SERUM","MONKEY","M","IU/L",43.8543859649123,18.3242535108976,19
"Aspartate Aminotransferase","AST","SERUM","MONKEY","M","U/L",56.8886835431491,26.7279343186104,1044
"Aspartate Aminotransferase","AST","SERUM","MOUSE","F","U/L",92.5839248434238,55.3764002386561,479
"Aspartate Aminotransferase","AST","SERUM","MOUSE","M","U/L",98.6655877342419,81.2237980315878,587
"Aspartate Aminotransferase","AST","SERUM","PIG","F","U/L",61.1205673758865,36.9344422171678,47
"Aspartate Aminotransferase","AST","SERUM","PIG","M","U/L",67.0035460992908,52.8392934205294,47
"Aspartate Aminotransferase","AST","SERUM","RABBIT","F","U/L",18.3809523809524,6.60220724714565,42
"Aspartate Aminotransferase","AST","SERUM","RABBIT","M","U/L",18.9560606060606,7.25986604639886,66
"Aspartate Aminotransferase","AST","SERUM","RAT","F","IU/L",90.7701754385965,22.8347484589268,190
"Aspartate Aminotransferase","AST","SERUM","RAT","F","U/L",105.478883666275,50.985208036859,4255
"Aspartate Aminotransferase","AST","SERUM","RAT","F","ukat/L",1.403468125,0.351730078276102,32
"Aspartate Aminotransferase","AST","SERUM","RAT","M","IU/L",96.0078014184397,35.0826148865014,141
"Aspartate Aminotransferase","AST","SERUM","RAT","M","U/L",104.122032842167,34.2942028606253,4547
"Aspartate Aminotransferase","AST","SERUM","RAT","M","ukat/L",1.40737125,0.186328131579056,32
"Aspartate Aminotransferase","AST","WHOLE BLOOD","DOG","F","U/L",28.9166666666667,5.5874589009403,12
"Aspartate Aminotransferase","AST","WHOLE BLOOD","DOG","M","U/L",29.75,1.77738316327429,12
"Aspartate Aminotransferase","AST","WHOLE BLOOD","MOUSE","F","U/L",44.5,5.06479751945164,24
"Aspartate Aminotransferase","AST","WHOLE BLOOD","MOUSE","M","U/L",39.7333333333333,8.95557361929289,30
"Aspartate Aminotransferase","AST","WHOLE BLOOD","RAT","F","U/L",83.7871875,15.3781661840659,160
"Aspartate Aminotransferase","AST","WHOLE BLOOD","RAT","M","U/L",81.7328125,17.5197301597451,160
"Bacteria","BACT","URINE","DOG","F","POINT",2.56862745098039,0.452841428622784,17
