STUDYID, DOMAIN, USUBJID, POOLID, PPSEQ, PPGRPID, PPTESTCD, PPTEST, PPCAT, PPSCAT, PPORRES, PPORRESU, PPSTRESC, PPSTRESN, PPSTRESU, PPSTAT, PPREASND, PPSPEC, VISITDY, PPTPTREF, PPRFTDTC, PPSTINT, PPENINT
STUDY123,PP,STUDY123-2504,,23,ARTICLE123-DAY1-STUDY123-2504,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,0.680,ug/mL,0.680,0.680,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-2504,,24,ARTICLE123-DAY1-STUDY123-2504,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,8.0,h,8.0,8.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3001,,25,ARTICLE123-DAY1-STUDY123-3001,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,41.6,h*ug/mL,41.6,41.6,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3001,,26,ARTICLE123-DAY1-STUDY123-3001,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,2.54,ug/mL,2.54,2.54,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3001,,27,ARTICLE123-DAY1-STUDY123-3001,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,24,h,24,24,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3002,,28,ARTICLE123-DAY1-STUDY123-3002,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,41.7,h*ug/mL,41.7,41.7,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3002,,29,ARTICLE123-DAY1-STUDY123-3002,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,2.32,ug/mL,2.32,2.32,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3002,,30,ARTICLE123-DAY1-STUDY123-3002,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3003,,31,ARTICLE123-DAY1-STUDY123-3003,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,33.3,h*ug/mL,33.3,33.3,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3003,,32,ARTICLE123-DAY1-STUDY123-3003,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,1.82,ug/mL,1.82,1.82,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3003,,33,ARTICLE123-DAY1-STUDY123-3003,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3004,,34,ARTICLE123-DAY1-STUDY123-3004,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,48.1,h*ug/mL,48.1,48.1,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3004,,35,ARTICLE123-DAY1-STUDY123-3004,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,2.81,ug/mL,2.81,2.81,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3004,,36,ARTICLE123-DAY1-STUDY123-3004,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,24,h,24,24,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3005,,37,ARTICLE123-DAY1-STUDY123-3005,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,36.9,h*ug/mL,36.9,36.9,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3005,,38,ARTICLE123-DAY1-STUDY123-3005,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,2.18,ug/mL,2.18,2.18,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3005,,39,ARTICLE123-DAY1-STUDY123-3005,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3006,,40,ARTICLE123-DAY1-STUDY123-3006,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,41.0,h*ug/mL,41.0,41.0,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3006,,41,ARTICLE123-DAY1-STUDY123-3006,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,1.93,ug/mL,1.93,1.93,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3006,,42,ARTICLE123-DAY1-STUDY123-3006,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,24,h,24,24,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3501,,43,ARTICLE123-DAY1-STUDY123-3501,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,48.4,h*ug/mL,48.4,48.4,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3501,,44,ARTICLE123-DAY1-STUDY123-3501,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,2.40,ug/mL,2.40,2.40,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3501,,45,ARTICLE123-DAY1-STUDY123-3501,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3502,,46,ARTICLE123-DAY1-STUDY123-3502,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,38.2,h*ug/mL,38.2,38.2,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3502,,47,ARTICLE123-DAY1-STUDY123-3502,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,1.96,ug/mL,1.96,1.96,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3502,,48,ARTICLE123-DAY1-STUDY123-3502,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3503,,49,ARTICLE123-DAY1-STUDY123-3503,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,18.4,h*ug/mL,18.4,18.4,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3503,,50,ARTICLE123-DAY1-STUDY123-3503,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,1.11,ug/mL,1.11,1.11,ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3503,,51,ARTICLE123-DAY1-STUDY123-3503,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3504,,52,ARTICLE123-DAY1-STUDY123-3504,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,43.1,h*ug/mL,43.1,43.1,h*ug/mL,,,PLASMA,1,,,PT0H, PT24H
STUDY123,PP,STUDY123-3504,,53,ARTICLE123-DAY1-STUDY123-3504,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,2.57,ug/mL,2.57,2.57,ug/mL,,,PLASMA,1,,,PT0H, PT24H
